,HandId,Level,BB,preflop_raisess_to,Players,Board,SHOW_DOWN,preflop_raises,preflop_calls,preflop_allin,flop_bets,flop_raises,flop_calls,flop_allin,turn_bets,turn_raises,turn_calls,turn_allin,river_bets,river_raises,river_calls,river_allin
5527,186378448184,III,50,719,9,4d 5c 8s Jh 4h,3d 9h,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
5528,186378469219,III,50,0,9,6h 9s 2c As Th,Jd Jc,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
5529,186378500527,III,50,100,9,3d 4s 8c Ac 2h,4c Jh,1,2,0,1,1,1,0,0,0,0,0,1,0,1,0
5530,186378681698,IV,80,1390,9,Jh Ks 9h 3h 6s,Ad Qd,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5531,186379552808,I,20,50,8,2s Qd 8d 5c 7h,6d 5d,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0
5532,186379759827,I,20,50,8,Kh Qs 9s 6h Td,9d 8c,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5533,186380454411,III,50,236,8,4c 3s Qs 8d Js,4c 4d,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5534,186380615684,III,50,300,8,8d Js 9h Kc 2s,Ah Qd,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0
5535,186381214603,IV,80,1734,9,Js Ks Tc 3s 9d,Kd Kh,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5536,186379904025,I,20,60,9,Ts 7h Th 3h 7s,Kd Ks,1,1,0,1,0,1,0,0,0,0,0,1,1,1,2
5537,186380160245,I,20,160,9,2d 2c 8c 4h Th,Ah As,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5538,186380210525,I,20,150,8,9h 7h 3s 9c Td,8h 8d,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0
5539,186380389159,I,20,0,7,Qd 3d 2d As 8s,Qh Jd,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0
5540,186380560852,II,30,87,7,Ah 7s 3h Kh 8s,9h Qc,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0
5541,186380754901,II,30,0,7,Kc 2c 5c 5s Qd,4d 3c,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0
5542,186380807837,II,30,1281,7,3d 9h 5d 9c 4d,9d 8d,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
5543,186380935571,II,30,0,6,Qd Td 7d 3h Ts,Td Ad,0,3,0,1,0,1,0,1,0,1,0,0,0,0,0
5544,186380983513,III,50,2446,6,6d 6s 2d 5h 6c,Jd 8h,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0
5545,186381087574,III,50,200,9,Tc As 3h 9c 5s,8s Js,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5546,186380489755,I,20,60,9,4s 9d Jh 9h As,7h 7s,1,2,0,1,0,1,0,1,0,1,0,1,0,1,1
5547,186380547205,I,20,254,9,Ts 4d 7d 5s 6d,Ts Kd,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
5548,186380599452,I,20,40,9,Kc 6d Jd 2h 9c,Kd Kh,1,3,0,1,0,1,0,1,0,1,0,0,0,0,0
5549,186380846825,II,30,60,9,4s 5d 5c Ts 3d,Ad 6s,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
5550,186380998995,II,30,2373,9,Jh 9s Jd Kh Jc,Ah Ks,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
5551,186381070822,II,30,165,9,5h Qh Ac 4s 4h,Kc Ad,1,2,0,1,1,1,0,1,0,1,2,0,0,0,0
5552,186381482061,III,50,100,9,Qc Kh 7d 9d Ks,4c 4d,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
5553,186381706617,III,50,100,8,Kc 6d 9s Qs Qc,7c 7s,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
5554,186381743231,IV,80,723,8,2c 2s Qd 4c 5d,Ad Jd,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5555,186381803008,IV,80,160,8,5s 9h Ts 3s 8d,Ad 6d,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0
5556,186381844625,IV,80,753,8,8c Tc 3c 7d 9h,5d 5c,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5557,186381887752,IV,80,160,7,7h Qs 4c 7s 4d,Tc Qs,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0
5558,186381070479,I,20,180,7,Td 3d Th 2c 7d,Qh Qd,2,1,0,1,0,1,0,1,0,1,0,1,1,1,1
5559,186381466009,II,30,90,5,5h Qc Qh 2d 2c,9h Ks,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0
5560,186381500121,II,30,90,9,4h Ah 3s 8c Tc,Ad 2h,1,2,0,1,0,1,0,1,0,1,0,1,1,1,1
5561,186381544809,II,30,90,9,Jc 5s 5d 3c 4s,6d 6h,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
5562,186382269924,IV,80,720,8,Ad Qd 9d Kh Tc,7c 9c,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5563,186382309079,IV,80,160,8,8s 9d 2c 4h Ad,8s 9s,1,2,0,1,0,1,0,0,0,0,0,1,0,1,0
5564,186382404410,IV,80,1436,8,Td 2h Qc 2d Tc,Jd Tc,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5565,186382443685,IV,80,160,7,8d 2d 3h 6s 8h,6h As,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0
5566,186382621130,IV,80,1051,6,Qh 5s Ad 7h Qd,6d Ah,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5567,186382747382,IV,80,1206,6,2s 7h Td Jc Ts,5h 4h,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
5568,186385094803,I,20,40,6,2d 8c 2c 6c 7c,Ah 7h,1,5,0,1,0,1,0,1,0,1,0,1,0,1,0
5569,186385197174,I,20,80,5,Jc 8c 5s Qh 3h,7c Tc,1,4,0,1,0,2,0,0,0,0,0,0,0,0,0
5570,186385689612,II,30,0,5,Ad 4c 6h 3s 3c,Ks Th,0,3,0,0,0,0,0,1,1,1,0,1,0,1,0
5571,186385790355,II,30,699,4,Kd Ah 3c 8h 5h,Tc Qd,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
5572,186386139935,III,50,200,9,Tc 4h 9d 6c Kc,Ad As,2,1,0,1,1,1,0,1,0,1,1,0,0,0,0
5573,186386226482,III,50,901,8,Ac Qd Ts 7d 8s,7d 2d,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5574,186386422542,III,50,1085,8,8s 4s Tc 2d Qh,Qc 3c,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5575,186386441120,III,50,1209,7,7s Qd 7h 9s 5d,Qd 4c,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5576,186386541654,III,50,5037,7,4h Js Jd 8c 4s,Jd Ac,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5577,186386576482,III,50,300,6,Jc Qd 8c 5d 3d,8s Jd,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0
5578,186386639643,IV,80,320,6,8s 4s 7h 5h 8h,Ac 8c,2,1,0,1,1,1,0,0,0,0,0,1,0,1,0
5579,186386723316,IV,80,7769,6,Js 9c Ah Ac Jc,Jd Ac,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5580,186386794650,IV,80,160,6,9s Kh 4d Jd Th,Ah Kh,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1
5581,186386859592,IV,80,8072,6,7h 8c Ts Th 6d,Ad Ks,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5582,186386978225,IV,80,160,9,3s 8c 2d As Kc,Kd Ah,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
5583,186385302153,I,20,40,9,3s Jd 7d 6d 9c,4s 5s,1,2,0,1,0,1,0,1,1,1,2,0,0,0,0
5584,186385357506,I,20,40,9,6h 6c Qc Ts Qh,Js Ts,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5585,186385429489,I,20,40,9,Qd 3c 9d Jd 3s,Jh Ac,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0
5586,186385689862,I,20,60,8,Qc Ts 3d 6d 4d,As 7s,1,3,0,1,1,1,0,1,1,1,2,0,0,0,0
5587,186385860767,II,30,60,7,9h 4h 6s As Jh,Ah Jd,1,2,0,1,1,1,0,1,0,1,0,0,0,0,0
5588,186385956603,II,30,60,6,6s Jc Qc 3c 6d,Ac 5s,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
5589,186386015583,II,30,60,5,3c 7s Qs 8c 2c,Qh 9d,1,3,0,1,2,1,1,0,0,0,0,0,0,0,0
5590,186386198820,II,30,60,4,9d Qs 4h Qc 8h,Jh Qh,1,3,0,1,3,0,1,0,0,0,0,0,0,0,0
5591,186386366866,III,50,250,4,6s 7s 7c 9s 7h,8s 8h,2,1,0,1,0,1,0,1,0,1,1,0,0,0,0
5592,186386430716,III,50,866,4,Ah Qd 3c 9s Ks,Ks Kh,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
5593,186386514350,III,50,1823,4,9d 8d 2h Jc 2c,Th Jc,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5594,186386622936,III,50,100,3,Kh 5h Jc 8d 6h,Tc 4c,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
5595,186386697048,III,50,150,3,5s 9c Kh 4d 2h,Kh Tc,1,1,0,1,0,1,0,1,0,1,2,0,0,0,0
5596,186386753591,IV,80,817,2,7h Js Jh Tc 4c,Qd Ah,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5597,186386819119,IV,80,160,9,As 2s 9h 4d Tc,Td Ad,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
5598,186386868356,IV,80,989,8,8c Jd Ts 3d Qs,Ks Kh,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5599,186387020199,IV,80,160,8,9s 4s 8h 9h Ah,8d 8h,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
5600,186387195488,IV,80,1967,8,Kh 4d 3s 8c Ks,Qc 8d,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5601,186387217926,IV,80,1185,8,Ah Qs Ks Ac 3s,4c Ac,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5602,186385801342,I,20,40,8,Kc 4s 2h 4c 6c,6h Ah,1,3,0,1,0,1,0,0,0,0,0,1,0,1,0
5603,186386084832,I,20,80,8,Td 6d Js 3h 2s,Kd As,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0
5604,186386171127,I,20,60,8,2d 2s Jh Qc 4h,Ac 9d,1,3,0,1,0,1,0,1,0,1,1,0,0,0,0
5605,186386252158,I,20,40,7,Qd Kc 7s 6h 3h,Jc Kc,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0
5606,186386325305,II,30,60,7,4h Jc 6h 2h 4s,9h 9d,1,4,0,1,1,1,0,1,1,1,1,0,0,0,0
5607,186386600102,II,30,60,7,5c 2h Th 3c 8h,Ad As,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0
5608,186386653328,II,30,90,7,Qh 6c Ts 9h Kd,Jd Ad,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0
5609,186386693216,II,30,150,7,5h 3h 9c As Jd,Td Tc,1,4,0,1,1,1,1,0,0,0,0,0,0,0,0
5610,186386780005,III,50,200,7,2c Qc 5c Qd 7h,7s 7h,1,3,0,0,0,0,0,1,1,1,2,0,0,0,0
5611,186387108298,III,50,4609,7,Js 7s Ks Qc 2s,7s 7c,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5612,186387263208,IV,80,3691,6,8s 7h Qd 6c 4d,As Ks,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
5613,186386294532,I,20,180,5,2h 4h Qh 6d 7s,8c 8h,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0
5614,186386951180,II,30,90,5,7d 4s 9c Js Kd,Tc Ac,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
5615,186387257691,III,50,200,5,8s Qs 2d 2s 7d,5h 5s,1,2,0,1,0,1,0,1,1,1,1,0,0,0,0
5616,186387333485,III,50,100,9,2c 8c 5s 9c Tc,Jh Jd,1,5,0,1,0,1,0,1,0,1,0,1,0,1,1
5617,186387417735,III,50,496,9,4s Jh Ac 7c Ks,Jd Jc,2,4,2,1,0,1,1,0,0,0,0,0,0,0,0
5618,186387919075,I,20,0,9,2s 3s Ks Kd Td,Ac Td,0,2,0,0,0,0,0,1,0,1,0,1,1,1,0
5619,186388017535,I,20,40,8,6s 2c Ts Kh 5c,Td Tc,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0
5620,186388275389,I,20,40,8,7h 4d 3s 2c 9h,Ac Kc,1,5,0,1,0,2,0,1,0,1,0,1,0,1,0
5621,186388841446,III,50,125,8,Ks 2d Ah Qs 7d,Ah Js,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0
5622,186388976897,III,50,803,8,4d 8d Kh Kd 4c,Ks 8s,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
5623,186389050740,III,50,634,8,Ac 7h Qh 3s 6d,7c Ah,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
5624,186389219306,III,50,210,7,7s Qh Th 2h 2d,Qh Qs,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
5625,186388227176,I,20,148,6,4c 7s 3d 2d 2c,5h Ad,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0
5626,186388362882,I,20,1342,6,3h 7c 5s 2s 5h,As Ts,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
5627,186388511842,I,20,78,9,6h Ah Ad 5h Ac,Ts Jd,2,3,1,0,0,0,0,1,1,0,1,0,0,0,0
5628,186388614222,II,30,60,9,4h Qd 7s Ts 9s,Ah 9d,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0
5629,186388853627,II,30,90,9,Kc 4d Th Qh 9c,4d 3d,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
5630,186388978039,II,30,60,9,7s 2s 6s 4h Th,2h 3h,1,3,0,1,0,1,0,1,0,1,0,0,0,0,0
5631,186389133635,III,50,115,9,8s 4h Jh Qd 4d,Qs Kh,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
5632,186389707818,IV,80,834,9,Kh 5d Jd Ad 8d,Js Ks,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5633,186389921114,IV,80,619,9,6c 5c 4s Js Td,6h Qh,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
5634,186388733445,I,20,1481,9,Ac Js Qh Jc Qd,Ks 8s,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5635,186388904878,I,20,75,9,9h 6c 9d 5h 2s,As 8d,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0
5636,186389082684,I,20,80,9,As 7c 8d 9s Kc,9d Ks,1,3,0,1,0,1,0,0,0,0,0,1,0,1,0
5637,186389132793,II,30,60,9,Ts 3d 2s Qh 5d,Jd 9d,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
5638,186389418490,II,30,0,9,7h 6h 8s 7c 3c,Th 9h,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
5639,186389556005,II,30,60,9,Th Ks Kd 2h Kc,Ts Ah,1,2,0,1,0,1,0,1,0,1,0,1,0,1,1
5640,186389716068,III,50,1222,9,8h 3d 4s Qh 4d,As Qh,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
5641,186389828740,III,50,1029,9,Js 8d Ah Qc 2c,As Tc,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
5642,186389867106,III,50,111,9,Js 6d 7c 4d 8c,4h 4c,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
5643,186389926397,III,50,0,8,7s Th 8c 3c 9c,9d 7d,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
5644,186390095444,IV,80,160,7,2d 9h Qs Qh Jc,Js 8c,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
5645,186390190977,IV,80,160,7,Kc 4c Th Qs Js,Ac 8h,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
5646,186390361292,IV,80,1589,7,Th 8s As 3c 5s,9d 9c,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5647,186389452748,I,20,70,7,Ks 4c Th 4d 3c,3d Js,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
5648,186389496089,I,20,40,9,Jd 3h 8s Td 4h,Qs Ac,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5649,186389865758,II,30,137,8,Jd Ah Th 4h 3h,7h Qh,1,1,0,0,0,0,0,1,1,1,2,0,0,0,0
5650,186389999728,II,30,75,8,4d 8d Qs 5s 3h,Qh Jh,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1
5651,186390197030,III,50,150,8,6c 8s 5h As 3s,6c Jc,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0
5652,186390275356,III,50,100,8,6d 8s 5d Kc 4d,5c Ad,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
