,Tournament,HandId,Level,ante,BB,Players,Board,SHOW_DOWN,pflop_chip_rais,pflop_chip_calls,flop_chip_bets,flop_chip_raises,flop_chip_calls,turn_chip_bets,turn_chip_raises,turn_chip_calls,river_chip_bets,river_chip_raises,river_chip_calls,pflop_rais,pflop_calls,pflop_allin,flop_bets,flop_raises,flop_calls,flop_allin,turn_bets,turn_raises,turn_calls,turn_allin,river_bets,river_raises,river_calls,river_allin
13803,3660276317,1599173888,IX,875,1200,7,9s Qc 7d 4d 5h,2c 2s,97092,69092,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13804,3660276317,1599176305,IX,1000,1200,7,6d As Js Jd Qs,Ac As,271800,97530,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13805,3660276317,1599177501,IX,1000,1200,7,4h Jd Kh 9s 7c,4d 4h,16880,8880,16533,0,16533,41791,0,41791,108143,0,108143,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13806,3660276317,1599180482,X,1150,1400,8,2d Jc 9c 3d 2c,9h 8h,655409,18000,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13807,3660276317,1599181195,X,1150,1400,7,9s 8h Qc Kc 6d,3c 9c,958742,388326,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13808,3660276317,1599182716,X,1150,1400,7,4h 7c Kc Th 8c,Kd As,48850,48850,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13809,3660276317,1599183781,X,1150,1400,7,9s Qh 9h 7c 8s,Jc Kd,18000,9000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13810,3660276317,1599187717,XI,1300,1600,7,Qc Ah 4d Jd Ts,Ks Jd,150350,16100,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13811,3660276317,1599188538,XI,1300,1600,7,Td Th Kh Ad 7s,4s As,270210,137100,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13812,3660276317,1599189132,XI,1300,1600,7,Th 3h 4s 6c 3d,Kh Js,29400,19400,182100,0,182100,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
13813,3660276317,1599189834,XI,1300,1600,7,8d Qc 6h 3s Qs,6h Ad,22000,78000,93075,0,93075,354023,0,297435,0,0,0,1,4,0,1,0,1,0,1,0,1,2,0,0,0,0
